Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Audi A6 TDI,2008-06,Dyzelinas,303 000 km,Mechaninė,2.0,103,"Vilnius, Lietuva",4 750 €
Skoda Superb TDI Active,2011-06,Dyzelinas,263 000 km,Mechaninė,1.6,77,"Vilnius, Lietuva",4 750 €
Opel Insignia CDTI,2010-07,Dyzelinas,245 000 km,Mechaninė,2.0,96,"Vilnius, Lietuva",4 750 €
Citroen C5 HDi Exclusive aut,2012-06,Dyzelinas,240 000 km,Automatinė,2.2,150,"Kaunas, Lietuva",4 750 €
Mercedes-Benz Sprinter,2007-09,Dyzelinas,360 000 km,Mechaninė,2.1,110,"Kaunas, Lietuva",4 750 € + mokesčiai
Mazda 5,2011-04,Benzinas,134 000 km,Mechaninė,1.8,85,"Marijampolė, Lietuva",4 750 €
Volkswagen Passat,2011-05,Dyzelinas,230 000 km,Mechaninė,2.0,103,"Panevėžys, Lietuva",4 750 €
Mercedes-Benz C 200 CDI Classic,2009-02,Dyzelinas,370 000 km,Mechaninė,2.1,100,"Alytus, Lietuva",4 750 €
Opel Insignia CDTI Cosmo aut,2010-07,Dyzelinas,259 411 km,Automatinė,2.0,96,"Kėdainiai, Lietuva",4 799 €
Volkswagen Cross Touran TSI Comfortline DSG,2008-04,Benzinas,205 411 km,Automatinė,1.4,125,"Kėdainiai, Lietuva",4 799 €
Volkswagen Golf VI TDI Comfortline,2009-02,Dyzelinas,,Mechaninė,2.0,81,"Mažeikiai, Lietuva",4 799 €
BMW 320,2010-09,Dyzelinas,330 000 km,Mechaninė,2.0,105,"Vilnius, Lietuva",4 799 €
Nissan Terrano,2005-11,Dyzelinas,160 300 km,Mechaninė,3.0,113,"Klaipėda, Lietuva",4 799 €
Jeep Grand Cherokee Laredo,2000-01,Benzinas/Dujos,,Automatinė,4.0,142,"Vievis, Lietuva",4 800 €
Ford Focus EcoBoost Edition,2013-11,Benzinas,100 000 km,Mechaninė,1.0,92,"Klaipėda, Lietuva",4 800 €
BMW 730 E65/66 d,2005-01,Dyzelinas,,Automatinė,3.0,170,"Vilnius, Lietuva",4 800 €
Volkswagen Transporter,2006-08,Dyzelinas,220 000 km,Mechaninė,1.9,77,"Kaunas, Lietuva",4 800 €
Skoda Superb,2010-09,Dyzelinas,317 000 km,Mechaninė,2.0,103,"Jonava, Lietuva",4 800 €
Chrysler Aspen,2007-01,Benzinas/Dujos,,Automatinė,5.7,,"Vilnius, Lietuva",4 800 €
Peugeot 4007,2008-06,Dyzelinas,277 000 km,Mechaninė,2.2,115,"Radviliškis, Lietuva",4 800 €
Nissan Patrol TD SG,1995-01,Dyzelinas,343 286 km,Mechaninė,2.8,85,"Pakruojis, Lietuva",4 800 €
Volvo XC90,2004-11,Dyzelinas,338 000 km,Automatinė,2.4,120,"Kaunas, Lietuva",4 800 €
Volkswagen Touran,2012-08,Dyzelinas,,Automatinė,1.6,77,"Kaišiadorys, Lietuva",4 800 €
Volkswagen Transporter,2005-03,Dyzelinas,,Mechaninė,2.5,96,"Kaišiadorys, Lietuva",4 800 €
Volvo XC70,2008-06,Dyzelinas,,Automatinė,2.4,136,"Kaišiadorys, Lietuva",4 800 €
Honda Civic B18C6,1999-11,Benzinas/Dujos,284 000 km,Mechaninė,1.8,140,"Vilnius, Lietuva",4 800 €
Audi A6,2005-01,Benzinas/Dujos,310 000 km,Automatinė,4.2,246,"Klaipėda, Lietuva",4 800 €
Renault Fluence,2012-01,Elektra,70 000 km,,,,,4 800 €
Nissan X-Trail II dCi SE aut,2008-02,Dyzelinas,380 000 km,Automatinė,2.0,110,"Klaipėda, Lietuva",4 800 €
Volvo V70 III,2009-09,Benzinas/Dujos,230 000 km,Mechaninė,2.0,107,"Kretinga, Lietuva",4 800 €
BMW 330,2007-02,Benzinas,,Mechaninė,3.0,170,"Klaipėda, Lietuva",4 800 €
Seat Leon,2009-01,Dyzelinas,247 207 km,Mechaninė,1.9,77,"Utena, Lietuva",4 800 €
Citroen Jumper,2012-06,Dyzelinas,,Mechaninė,2.2,110,"Joniškis, Lietuva",4 800 €
Opel Insignia IŠSIMOKĖTINAI,2011-05,Dyzelinas,200 800 km,Mechaninė,2.0,96,"Tauragė, Lietuva",4 850 €
Opel Insignia CDTI Cosmo,2011-11,Dyzelinas,269 720 km,Mechaninė,2.0,118,"Kretinga, Lietuva",4 850 €
Mercedes-Benz ML 280 W164 CDI,2005-12,Dyzelinas,311 000 km,Automatinė,3.0,140,"Marijampolė, Lietuva",4 850 €
BMW 523 E60 i Touring,2008-04,Benzinas,230 000 km,Mechaninė,2.5,140,"Kėdainiai, Lietuva",4 850 €
Ford Ranger,2006-01,Dyzelinas,,Mechaninė,2.5,80,"Jurbarkas, Lietuva",4 850 €
Subaru Forester III,2009-12,Benzinas,140 200 km,Automatinė,2.5,126,"Vilnius, Lietuva",4 850 €
Volvo S80 D5 Executive,2007-11,Dyzelinas,333 267 km,Automatinė,2.4,136,"Vilnius, Lietuva",4 850 €
Mercedes-Benz E 200,2007-10,Dyzelinas,310 000 km,Automatinė,2.2,,"Kretinga, Lietuva",4 850 €
Audi A4 B8,2009-06,Benzinas,230 000 km,Mechaninė,1.8,,"Vilkaviškis, Lietuva",4 850 €
Renault Trafic,2006-12,Dyzelinas,,Mechaninė,1.9,74,"Kėdainiai, Lietuva",4 850 €
Honda CR-V i-CTDi Executive,2007-08,Dyzelinas,,Mechaninė,2.2,103,"Kaunas, Lietuva",4 850 €
Volkswagen Golf TDI Trendline,2012-01,Dyzelinas,292 000 km,Mechaninė,1.6,77,"Klaipėda, Lietuva",4 850 €
Skoda Octavia,2011-12,Dyzelinas,,Mechaninė,1.6,77,"Marijampolė, Lietuva",4 850 €
Volkswagen Golf TSI Comfortline,2009-08,Benzinas,,Mechaninė,1.4,90,"Marijampolė, Lietuva",4 890 €
Volkswagen Transporter,2006-09,Dyzelinas,360 000 km,Mechaninė,1.9,77,"Šiauliai, Lietuva",4 890 €
Chevrolet Orlando,2013-05,Dyzelinas,260 000 km,Mechaninė,2.0,120,"Tauragė, Lietuva",4 899 €
Audi A3 FACELIFT,2009-02,Benzinas,186 977 km,Automatinė,1.4,92,"Vilnius, Lietuva",4 899 €
Opel Insignia IŠSIMOKĖTINAI,2012-11,Dyzelinas,195 000 km,Mechaninė,2.0,81,"Mažeikiai, Lietuva",4 900 €
Fiat Freemont,2012-12,Dyzelinas,,Automatinė,2.0,125,"Vilnius, Lietuva",4 900 €
Mercedes-Benz Sprinter 61,2004-08,Dyzelinas,213 000 km,Mechaninė,2.1,60,"Kretinga, Lietuva",4 900 €
